Rank	Player	Country	Min rating	Med rating	Max rating
940	かう	Japan	0.46	0.75	1.22
941	トモヤサン＠しばらくはぷよクロ	Japan	0.46	1.20	3.16
942	とも	Japan	0.46	0.68	1.02
943	MalachiChoo	Australia	0.46	0.48	0.51
944	さりゅ	Japan	0.45	0.69	1.06
945	びびし	Japan	0.45	0.51	0.57
946	Aloc	France	0.45	0.58	0.75
947	ぷよざわ	Japan	0.45	0.49	0.54
948	しゅーさん！	Japan	0.45	0.89	1.77
949	そらかる	Japan	0.45	0.53	0.64
950	ユメイウ	Japan	0.45	0.74	1.23
951	くっくー	Japan	0.44	0.47	0.50
952	あべこ	Japan	0.44	0.75	1.26
